trial_ID;arrow_1;arrow_2;arrow_3;arrow_4;cero_refrescado;uno_refrescado;dos_refrescado;candi_target;target_disco;color_disco030;color_disco090;color_disco150;color_disco210;color_disco270;color_disco330;target_color;practice_trial
22;arrow270.png;arrow090.png;arrow210.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow330.png'];['arrow270.png', 'arrow210.png'];['arrow090.png'];dos_refrescado;disc090;71;105;253;297;197;333;105;No
23;arrow330.png;arrow150.png;arrow330.png;arrow210.png;['arrow030.png', 'arrow090.png', 'arrow270.png'];['arrow150.png', 'arrow210.png'];['arrow330.png'];uno_refrescado;disc330;206;289;312;176;10;65;65;No
24;arrow090.png;arrow330.png;arrow090.png;arrow330.png;['arrow030.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow090.png', 'arrow330.png'];dos_refrescado;disc090;246;29;226;70;189;317;29;No
25;arrow210.png;arrow090.png;arrow330.png;arrow150.png;['arrow030.png', 'arrow270.png'];['arrow210.png', 'arrow090.png', 'arrow330.png', 'arrow150.png'];['non_existent'];cero_refrescado;disc030;52;299;91;198;222;117;52;No
26;arrow270.png;arrow210.png;arrow270.png;arrow150.png;['arrow030.png', 'arrow090.png', 'arrow330.png'];['arrow210.png', 'arrow150.png'];['arrow270.png'];dos_refrescado;disc270;244;301;16;125;45;188;45;No
27;arrow270.png;arrow030.png;arrow210.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow330.png'];['arrow270.png', 'arrow210.png'];['arrow030.png'];cero_refrescado;disc090;256;180;81;15;344;216;180;No
28;arrow270.png;arrow030.png;arrow150.png;arrow330.png;['arrow090.png', 'arrow210.png'];['arrow270.png', 'arrow030.png', 'arrow150.png', 'arrow330.png'];['non_existent'];uno_refrescado;disc270;83;243;178;352;43;133;43;No
29;arrow150.png;arrow090.png;arrow330.png;arrow090.png;['arrow030.png', 'arrow210.png', 'arrow270.png'];['arrow150.png', 'arrow330.png'];['arrow090.png'];uno_refrescado;disc090;104;314;83;146;240;217;314;No
30;arrow150.png;arrow210.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow090.png', 'arrow330.png'];['arrow150.png', 'arrow270.png'];['arrow210.png'];cero_refrescado;disc330;99;19;313;253;207;180;180;No
31;arrow150.png;arrow270.png;arrow150.png;arrow270.png;['arrow030.png', 'arrow090.png', 'arrow210.png', 'arrow330.png'];['non_existent'];['arrow150.png', 'arrow270.png'];dos_refrescado;disc150;6;139;58;167;358;329;58;No
32;arrow030.png;arrow330.png;arrow030.png;arrow330.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow030.png', 'arrow330.png'];cero_refrescado;disc210;27;170;357;302;1;126;302;No
33;arrow030.png;arrow210.png;arrow030.png;arrow090.png;['arrow150.png', 'arrow270.png', 'arrow330.png'];['arrow210.png', 'arrow090.png'];['arrow030.png'];cero_refrescado;disc150;90;294;118;16;209;255;118;No
34;arrow270.png;arrow330.png;arrow210.png;arrow090.png;['arrow030.png', 'arrow150.png'];['arrow270.png', 'arrow330.png', 'arrow210.png', 'arrow090.png'];['non_existent'];uno_refrescado;disc270;97;285;150;61;328;355;328;No
35;arrow090.png;arrow210.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow150.png', 'arrow330.png'];['arrow090.png', 'arrow270.png'];['arrow210.png'];cero_refrescado;disc330;164;131;216;37;315;73;73;No
36;arrow210.png;arrow030.png;arrow090.png;arrow030.png;['arrow150.png', 'arrow270.png', 'arrow330.png'];['arrow210.png', 'arrow090.png'];['arrow030.png'];cero_refrescado;disc330;239;12;209;270;322;188;188;No
37;arrow090.png;arrow270.png;arrow090.png;arrow270.png;['arrow030.png', 'arrow150.png', 'arrow210.png', 'arrow330.png'];['non_existent'];['arrow090.png', 'arrow270.png'];dos_refrescado;disc090;143;279;336;200;237;170;279;No
38;arrow330.png;arrow270.png;arrow090.png;arrow210.png;['arrow030.png', 'arrow150.png'];['arrow330.png', 'arrow270.png', 'arrow090.png', 'arrow210.png'];['non_existent'];cero_refrescado;disc150;208;313;165;233;49;133;165;No
39;arrow090.png;arrow210.png;arrow090.png;arrow150.png;['arrow030.png', 'arrow270.png', 'arrow330.png'];['arrow210.png', 'arrow150.png'];['arrow090.png'];uno_refrescado;disc210;281;117;191;1;30;152;1;No
40;arrow150.png;arrow330.png;arrow270.png;arrow330.png;['arrow030.png', 'arrow090.png', 'arrow210.png'];['arrow150.png', 'arrow270.png'];['arrow330.png'];cero_refrescado;disc090;346;20;167;309;70;125;20;No
41;arrow030.png;arrow210.png;arrow330.png;arrow210.png;['arrow090.png', 'arrow150.png', 'arrow270.png'];['arrow030.png', 'arrow330.png'];['arrow210.png'];dos_refrescado;disc210;260;106;9;141;174;198;141;No
42;arrow090.png;arrow330.png;arrow090.png;arrow330.png;['arrow030.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow090.png', 'arrow330.png'];dos_refrescado;disc090;317;58;296;261;171;8;58;No
43;arrow270.png;arrow090.png;arrow270.png;arrow150.png;['arrow030.png', 'arrow210.png', 'arrow330.png'];['arrow090.png', 'arrow150.png'];['arrow270.png'];uno_refrescado;disc270;186;70;37;101;137;0;137;No
44;arrow330.png;arrow030.png;arrow330.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow330.png', 'arrow030.png'];dos_refrescado;disc330;116;235;319;61;350;287;287;No
45;arrow270.png;arrow030.png;arrow270.png;arrow330.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow030.png', 'arrow330.png'];['arrow270.png'];dos_refrescado;disc270;307;16;67;161;260;110;260;No
46;arrow270.png;arrow150.png;arrow030.png;arrow270.png;['arrow090.png', 'arrow210.png', 'arrow330.png'];['arrow150.png', 'arrow030.png'];['arrow270.png'];uno_refrescado;disc150;308;97;70;278;123;35;70;No
47;arrow270.png;arrow030.png;arrow150.png;arrow030.png;['arrow090.png', 'arrow210.png', 'arrow330.png'];['arrow270.png', 'arrow150.png'];['arrow030.png'];uno_refrescado;disc030;154;263;0;94;346;114;154;No
48;arrow330.png;arrow150.png;arrow090.png;arrow150.png;['arrow030.png', 'arrow210.png', 'arrow270.png'];['arrow330.png', 'arrow090.png'];['arrow150.png'];dos_refrescado;disc150;226;90;25;134;249;334;25;No
49;arrow270.png;arrow030.png;arrow210.png;arrow270.png;['arrow090.png', 'arrow150.png', 'arrow330.png'];['arrow030.png', 'arrow210.png'];['arrow270.png'];uno_refrescado;disc030;197;110;321;12;238;64;197;No
50;arrow210.png;arrow150.png;arrow030.png;arrow210.png;['arrow090.png', 'arrow270.png', 'arrow330.png'];['arrow150.png', 'arrow030.png'];['arrow210.png'];cero_refrescado;disc270;84;11;294;227;359;247;359;No
51;arrow330.png;arrow150.png;arrow270.png;arrow150.png;['arrow030.png', 'arrow090.png', 'arrow210.png'];['arrow330.png', 'arrow270.png'];['arrow150.png'];dos_refrescado;disc150;158;336;117;300;237;204;117;No
52;arrow090.png;arrow210.png;arrow150.png;arrow090.png;['arrow030.png', 'arrow270.png', 'arrow330.png'];['arrow210.png', 'arrow150.png'];['arrow090.png'];dos_refrescado;disc090;263;284;121;237;10;212;284;No
53;arrow150.png;arrow210.png;arrow270.png;arrow030.png;['arrow090.png', 'arrow330.png'];['arrow150.png', 'arrow210.png', 'arrow270.png', 'arrow030.png'];['non_existent'];cero_refrescado;disc090;35;269;289;309;192;358;269;No
54;arrow330.png;arrow270.png;arrow210.png;arrow150.png;['arrow030.png', 'arrow090.png'];['arrow330.png', 'arrow270.png', 'arrow210.png', 'arrow150.png'];['non_existent'];uno_refrescado;disc270;291;185;92;337;118;226;118;No
55;arrow270.png;arrow150.png;arrow090.png;arrow270.png;['arrow030.png', 'arrow210.png', 'arrow330.png'];['arrow150.png', 'arrow090.png'];['arrow270.png'];dos_refrescado;disc270;102;234;128;295;49;13;49;No
56;arrow210.png;arrow150.png;arrow330.png;arrow270.png;['arrow030.png', 'arrow090.png'];['arrow210.png', 'arrow150.png', 'arrow330.png', 'arrow270.png'];['non_existent'];cero_refrescado;disc030;72;137;198;318;114;285;72;No
57;arrow270.png;arrow030.png;arrow330.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow270.png', 'arrow330.png'];['arrow030.png'];dos_refrescado;disc030;78;39;185;205;273;240;78;No
58;arrow330.png;arrow210.png;arrow090.png;arrow330.png;['arrow030.png', 'arrow150.png', 'arrow270.png'];['arrow210.png', 'arrow090.png'];['arrow330.png'];uno_refrescado;disc330;55;259;146;98;27;332;332;No
59;arrow210.png;arrow030.png;arrow210.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow210.png', 'arrow030.png'];dos_refrescado;disc030;326;239;218;273;80;154;326;No
60;arrow150.png;arrow210.png;arrow090.png;arrow270.png;['arrow030.png', 'arrow330.png'];['arrow150.png', 'arrow210.png', 'arrow090.png', 'arrow270.png'];['non_existent'];cero_refrescado;disc030;269;112;293;182;350;225;269;No
61;arrow330.png;arrow270.png;arrow210.png;arrow330.png;['arrow030.png', 'arrow090.png', 'arrow150.png'];['arrow270.png', 'arrow210.png'];['arrow330.png'];uno_refrescado;disc330;228;10;186;126;270;345;345;No
62;arrow270.png;arrow090.png;arrow210.png;arrow270.png;['arrow030.png', 'arrow150.png', 'arrow330.png'];['arrow090.png', 'arrow210.png'];['arrow270.png'];dos_refrescado;disc270;265;55;357;305;91;15;91;No
63;arrow030.png;arrow330.png;arrow030.png;arrow270.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow330.png', 'arrow270.png'];['arrow030.png'];cero_refrescado;disc090;6;185;119;83;215;155;185;No
64;arrow150.png;arrow210.png;arrow330.png;arrow150.png;['arrow030.png', 'arrow090.png', 'arrow270.png'];['arrow210.png', 'arrow330.png'];['arrow150.png'];dos_refrescado;disc150;94;8;313;280;192;237;313;No
65;arrow030.png;arrow270.png;arrow090.png;arrow270.png;['arrow150.png', 'arrow210.png', 'arrow330.png'];['arrow030.png', 'arrow090.png'];['arrow270.png'];dos_refrescado;disc270;185;95;212;21;144;287;144;No
66;arrow150.png;arrow270.png;arrow150.png;arrow090.png;['arrow030.png', 'arrow210.png', 'arrow330.png'];['arrow270.png', 'arrow090.png'];['arrow150.png'];dos_refrescado;disc150;271;159;133;239;112;35;133;No
67;arrow270.png;arrow090.png;arrow150.png;arrow270.png;['arrow030.png', 'arrow210.png', 'arrow330.png'];['arrow090.png', 'arrow150.png'];['arrow270.png'];cero_refrescado;disc330;95;125;214;249;26;332;332;No
68;arrow090.png;arrow150.png;arrow330.png;arrow210.png;['arrow030.png', 'arrow270.png'];['arrow090.png', 'arrow150.png', 'arrow330.png', 'arrow210.png'];['non_existent'];cero_refrescado;disc270;288;162;42;62;223;118;223;No
69;arrow090.png;arrow150.png;arrow090.png;arrow210.png;['arrow030.png', 'arrow270.png', 'arrow330.png'];['arrow150.png', 'arrow210.png'];['arrow090.png'];uno_refrescado;disc150;3;361;255;53;223;322;255;No
70;arrow210.png;arrow090.png;arrow330.png;arrow210.png;['arrow030.png', 'arrow150.png', 'arrow270.png'];['arrow090.png', 'arrow330.png'];['arrow210.png'];dos_refrescado;disc210;335;147;200;42;125;261;42;No
71;arrow090.png;arrow150.png;arrow090.png;arrow150.png;['arrow030.png', 'arrow210.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow090.png', 'arrow150.png'];dos_refrescado;disc090;72;10;287;157;106;252;10;No
72;arrow090.png;arrow030.png;arrow090.png;arrow030.png;['arrow150.png', 'arrow210.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow090.png', 'arrow030.png'];dos_refrescado;disc030;334;73;259;26;203;295;334;No
73;arrow150.png;arrow030.png;arrow150.png;arrow210.png;['arrow090.png', 'arrow270.png', 'arrow330.png'];['arrow030.png', 'arrow210.png'];['arrow150.png'];uno_refrescado;disc150;279;80;113;202;177;237;113;No
74;arrow030.png;arrow210.png;arrow030.png;arrow210.png;['arrow090.png', 'arrow150.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow030.png', 'arrow210.png'];dos_refrescado;disc210;169;107;245;134;51;338;134;No
75;arrow090.png;arrow030.png;arrow090.png;arrow330.png;['arrow150.png', 'arrow210.png', 'arrow270.png'];['arrow030.png', 'arrow330.png'];['arrow090.png'];uno_refrescado;disc090;278;33;145;167;347;310;33;No
76;arrow330.png;arrow150.png;arrow030.png;arrow150.png;['arrow090.png', 'arrow210.png', 'arrow270.png'];['arrow330.png', 'arrow030.png'];['arrow150.png'];uno_refrescado;disc330;247;139;78;16;349;161;161;No
77;arrow210.png;arrow150.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow090.png', 'arrow330.png'];['arrow150.png', 'arrow270.png'];['arrow210.png'];dos_refrescado;disc210;188;51;235;88;140;292;88;No
78;arrow270.png;arrow210.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow090.png', 'arrow150.png', 'arrow330.png'];['non_existent'];['arrow270.png', 'arrow210.png'];dos_refrescado;disc210;361;78;143;226;25;338;226;No
79;arrow210.png;arrow090.png;arrow210.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow210.png', 'arrow090.png'];dos_refrescado;disc090;31;59;248;286;190;227;59;No
80;arrow150.png;arrow210.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow090.png', 'arrow330.png'];['arrow150.png', 'arrow270.png'];['arrow210.png'];cero_refrescado;disc090;123;207;290;325;175;56;207;No
81;arrow270.png;arrow090.png;arrow210.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow330.png'];['arrow270.png', 'arrow210.png'];['arrow090.png'];cero_refrescado;disc150;188;137;257;85;296;27;257;No
82;arrow030.png;arrow330.png;arrow030.png;arrow330.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow030.png', 'arrow330.png'];dos_refrescado;disc330;342;153;173;285;248;113;113;No
83;arrow150.png;arrow030.png;arrow270.png;arrow210.png;['arrow090.png', 'arrow330.png'];['arrow150.png', 'arrow030.png', 'arrow270.png', 'arrow210.png'];['non_existent'];cero_refrescado;disc090;286;137;19;57;351;319;137;No
84;arrow030.png;arrow150.png;arrow030.png;arrow330.png;['arrow090.png', 'arrow210.png', 'arrow270.png'];['arrow150.png', 'arrow330.png'];['arrow030.png'];uno_refrescado;disc030;190;136;157;50;268;355;190;No
85;arrow210.png;arrow090.png;arrow270.png;arrow210.png;['arrow030.png', 'arrow150.png', 'arrow330.png'];['arrow090.png', 'arrow270.png'];['arrow210.png'];cero_refrescado;disc330;287;343;308;4;232;87;87;No
86;arrow210.png;arrow030.png;arrow150.png;arrow090.png;['arrow270.png', 'arrow330.png'];['arrow210.png', 'arrow030.png', 'arrow150.png', 'arrow090.png'];['non_existent'];cero_refrescado;disc270;175;348;266;90;316;216;316;No
87;arrow330.png;arrow090.png;arrow270.png;arrow330.png;['arrow030.png', 'arrow150.png', 'arrow210.png'];['arrow090.png', 'arrow270.png'];['arrow330.png'];uno_refrescado;disc090;350;147;210;20;60;101;147;No
88;arrow090.png;arrow030.png;arrow090.png;arrow030.png;['arrow150.png', 'arrow210.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow090.png', 'arrow030.png'];dos_refrescado;disc030;82;361;188;59;326;4;82;No
89;arrow030.png;arrow330.png;arrow210.png;arrow270.png;['arrow090.png', 'arrow150.png'];['arrow030.png', 'arrow330.png', 'arrow210.png', 'arrow270.png'];['non_existent'];uno_refrescado;disc030;345;191;84;324;132;38;345;No
90;arrow270.png;arrow030.png;arrow090.png;arrow330.png;['arrow150.png', 'arrow210.png'];['arrow270.png', 'arrow030.png', 'arrow090.png', 'arrow330.png'];['non_existent'];uno_refrescado;disc030;9;139;250;290;347;270;9;No
91;arrow090.png;arrow330.png;arrow090.png;arrow330.png;['arrow030.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow090.png', 'arrow330.png'];cero_refrescado;disc150;232;113;34;0;74;303;34;No
92;arrow210.png;arrow330.png;arrow270.png;arrow090.png;['arrow030.png', 'arrow150.png'];['arrow210.png', 'arrow330.png', 'arrow270.png', 'arrow090.png'];['non_existent'];uno_refrescado;disc330;168;234;107;297;210;52;52;No
93;arrow030.png;arrow090.png;arrow030.png;arrow090.png;['arrow150.png', 'arrow210.png', 'arrow270.png', 'arrow330.png'];['non_existent'];['arrow030.png', 'arrow090.png'];cero_refrescado;disc270;171;337;197;238;294;13;294;No
94;arrow150.png;arrow210.png;arrow090.png;arrow150.png;['arrow030.png', 'arrow270.png', 'arrow330.png'];['arrow210.png', 'arrow090.png'];['arrow150.png'];dos_refrescado;disc150;30;139;337;250;82;8;337;No
95;arrow270.png;arrow150.png;arrow270.png;arrow030.png;['arrow090.png', 'arrow210.png', 'arrow330.png'];['arrow150.png', 'arrow030.png'];['arrow270.png'];dos_refrescado;disc270;234;145;213;301;350;89;350;No
96;arrow270.png;arrow330.png;arrow270.png;arrow330.png;['arrow030.png', 'arrow090.png', 'arrow150.png', 'arrow210.png'];['non_existent'];['arrow270.png', 'arrow330.png'];dos_refrescado;disc270;177;13;257;74;305;233;305;No
97;arrow330.png;arrow030.png;arrow330.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow330.png', 'arrow030.png'];cero_refrescado;disc090;319;110;25;285;81;197;110;No
98;arrow270.png;arrow330.png;arrow030.png;arrow330.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow270.png', 'arrow030.png'];['arrow330.png'];uno_refrescado;disc330;286;197;105;314;77;46;46;No
99;arrow330.png;arrow090.png;arrow330.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow330.png', 'arrow090.png'];dos_refrescado;disc330;233;275;156;99;193;130;130;No
100;arrow330.png;arrow270.png;arrow330.png;arrow270.png;['arrow030.png', 'arrow090.png', 'arrow150.png', 'arrow210.png'];['non_existent'];['arrow330.png', 'arrow270.png'];cero_refrescado;disc150;137;302;266;95;360;205;266;No
101;arrow330.png;arrow210.png;arrow330.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow270.png'];['arrow210.png', 'arrow030.png'];['arrow330.png'];cero_refrescado;disc090;325;87;288;208;176;129;87;No
102;arrow270.png;arrow150.png;arrow030.png;arrow150.png;['arrow090.png', 'arrow210.png', 'arrow330.png'];['arrow270.png', 'arrow030.png'];['arrow150.png'];uno_refrescado;disc270;134;40;344;97;304;212;304;No
103;arrow330.png;arrow030.png;arrow330.png;arrow210.png;['arrow090.png', 'arrow150.png', 'arrow270.png'];['arrow030.png', 'arrow210.png'];['arrow330.png'];dos_refrescado;disc330;360;15;216;94;328;73;73;No
104;arrow270.png;arrow030.png;arrow090.png;arrow030.png;['arrow150.png', 'arrow210.png', 'arrow330.png'];['arrow270.png', 'arrow090.png'];['arrow030.png'];cero_refrescado;disc330;295;27;75;169;345;252;252;No
105;arrow150.png;arrow030.png;arrow270.png;arrow210.png;['arrow090.png', 'arrow330.png'];['arrow150.png', 'arrow030.png', 'arrow270.png', 'arrow210.png'];['non_existent'];cero_refrescado;disc330;223;277;20;143;165;354;354;No
106;arrow270.png;arrow090.png;arrow270.png;arrow090.png;['arrow030.png', 'arrow150.png', 'arrow210.png', 'arrow330.png'];['non_existent'];['arrow270.png', 'arrow090.png'];cero_refrescado;disc030;180;39;293;212;133;105;180;No
107;arrow330.png;arrow030.png;arrow330.png;arrow030.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow330.png', 'arrow030.png'];dos_refrescado;disc330;241;264;3;33;306;171;171;No
108;arrow090.png;arrow030.png;arrow210.png;arrow270.png;['arrow150.png', 'arrow330.png'];['arrow090.png', 'arrow030.png', 'arrow210.png', 'arrow270.png'];['non_existent'];cero_refrescado;disc150;174;234;270;32;304;129;270;No
109;arrow330.png;arrow090.png;arrow150.png;arrow330.png;['arrow030.png', 'arrow210.png', 'arrow270.png'];['arrow090.png', 'arrow150.png'];['arrow330.png'];uno_refrescado;disc330;91;357;39;127;270;234;234;No
110;arrow330.png;arrow270.png;arrow090.png;arrow150.png;['arrow030.png', 'arrow210.png'];['arrow330.png', 'arrow270.png', 'arrow090.png', 'arrow150.png'];['non_existent'];uno_refrescado;disc330;180;112;17;40;289;243;243;No
111;arrow090.png;arrow330.png;arrow030.png;arrow090.png;['arrow150.png', 'arrow210.png', 'arrow270.png'];['arrow330.png', 'arrow030.png'];['arrow090.png'];uno_refrescado;disc090;67;91;358;301;42;204;91;No
112;arrow030.png;arrow150.png;arrow090.png;arrow150.png;['arrow210.png', 'arrow270.png', 'arrow330.png'];['arrow030.png', 'arrow090.png'];['arrow150.png'];dos_refrescado;disc150;33;341;125;73;185;209;125;No
113;arrow030.png;arrow330.png;arrow210.png;arrow090.png;['arrow150.png', 'arrow270.png'];['arrow030.png', 'arrow330.png', 'arrow210.png', 'arrow090.png'];['non_existent'];cero_refrescado;disc270;79;10;324;114;35;355;35;No
114;arrow270.png;arrow330.png;arrow090.png;arrow150.png;['arrow030.png', 'arrow210.png'];['arrow270.png', 'arrow330.png', 'arrow090.png', 'arrow150.png'];['non_existent'];uno_refrescado;disc330;53;118;241;293;331;9;9;No
115;arrow270.png;arrow030.png;arrow330.png;arrow270.png;['arrow090.png', 'arrow150.png', 'arrow210.png'];['arrow030.png', 'arrow330.png'];['arrow270.png'];cero_refrescado;disc150;173;220;41;196;134;241;41;No
116;arrow030.png;arrow330.png;arrow030.png;arrow330.png;['arrow090.png', 'arrow150.png', 'arrow210.png', 'arrow270.png'];['non_existent'];['arrow030.png', 'arrow330.png'];dos_refrescado;disc030;347;78;281;159;48;101;347;No
117;arrow270.png;arrow330.png;arrow270.png;arrow150.png;['arrow030.png', 'arrow090.png', 'arrow210.png'];['arrow330.png', 'arrow150.png'];['arrow270.png'];dos_refrescado;disc270;350;38;107;171;315;261;315;No
118;arrow330.png;arrow030.png;arrow210.png;arrow090.png;['arrow150.png', 'arrow270.png'];['arrow330.png', 'arrow030.png', 'arrow210.png', 'arrow090.png'];['non_existent'];uno_refrescado;disc030;275;237;64;42;177;11;275;No
119;arrow030.png;arrow150.png;arrow210.png;arrow150.png;['arrow090.png', 'arrow270.png', 'arrow330.png'];['arrow030.png', 'arrow210.png'];['arrow150.png'];dos_refrescado;disc150;152;317;81;109;214;20;81;No
